teams,home,draw,away,date,league
SJK vs LAHTI,58%,25%,17%,FRI_ 26 JUL_ 18:30,VEIKKAUSLIIGA
GORNIK ZABRZE vs ZAGLEBIE,37%,32%,31%,FRI_ 26 JUL_ 19:00,EKSTRAKLASA
BANIK OSTRAVA vs TEPLICE,33%,34%,33%,FRI_ 26 JUL_ 19:30,CZECH FIRST LEAGUE
BASEL vs ST.GALLEN,54%,27%,19%,SAT_ 27 JUL_ 20:00,SWISS SUPER LEAGUE
SERVETTE vs SION,25%,29%,46%,SAT_ 27 JUL_ 20:00,SWISS SUPER LEAGUE
LUGANO vs THUN,45%,30%,25%,SUN_ 28 JUL_ 17:00,SWISS SUPER LEAGUE
RAPID WIEN vs SALZBURG,27%,31%,42%,FRI_ 26 JUL_ 21:45,AUSTRIAN BUNDESLIGA
ADMIRA WACKER vs WOLFSBERGER AC,33%,33%,34%,SAT_ 27 JUL_ 18:00,AUSTRIAN BUNDESLIGA
LASK vs ALTACH,38%,32%,30%,SUN_ 28 JUL_ 18:00,AUSTRIAN BUNDESLIGA
SJK vs LAHTI,58%,25%,17%,FRI_ 26 JUL_ 18:30,VEIKKAUSLIIGA
HJK vs VPS,54%,27%,19%,SAT_ 27 JUL_ 17:00,VEIKKAUSLIIGA
HONKA vs ILVES,37%,32%,31%,SAT_ 27 JUL_ 17:00,VEIKKAUSLIIGA
UC DUBLIN vs WATERFORD,44%,30%,26%,FRI_ 26 JUL_ 21:45,LEAGUE OF IRELAND
FINN HARPS vs DERRY CITY,27%,30%,43%,FRI_ 26 JUL_ 22:00,LEAGUE OF IRELAND
ST PATRICK`S vs DUNDALK,25%,29%,46%,SAT_ 27 JUL_ 19:30,LEAGUE OF IRELAND
NEW YORK CITY vs SPORTING KC,39%,32%,29%,SAT_ 27 JUL_ 02:30,MLS
LOS ANGELES vs ATLANTA,61%,24%,15%,SAT_ 27 JUL_ 05:00,MLS
NEW ENGLAND vs ORLANDO CITY,42%,31%,27%,SUN_ 28 JUL_ 02:00,MLS
PALMEIRAS vs VASCO DA GAMA,63%,24%,13%,SAT_ 27 JUL_ 23:00,BRAZILIAN SERIE A
INTERNACIONAL vs CEARÁ,46%,29%,25%,SUN_ 28 JUL_ 01:00,BRAZILIAN SERIE A
CRUZEIRO vs ATLETICO PR,31%,33%,36%,SUN_ 28 JUL_ 01:00,BRAZILIAN SERIE A
DAEGU vs SUWON,25%,30%,45%,TUE_ 30 JUL_ 13:30,K-LEAGUE
INCHEON vs GYEONGNAM,31%,33%,36%,TUE_ 30 JUL_ 13:30,K-LEAGUE
SEONGNAM vs SANGJU,37%,32%,31%,TUE_ 30 JUL_ 13:30,K-LEAGUE
