day,date,time,hometeam,awayteam,home,draw,away,gg,no_gg,ov15,un15,ov25,un25,ov35,un35,cs,league
FRI, 26 JUL, 18:30,SJK , LAHTI,58%,25%,17%,35%,65%,64%,36%,37%,63%,18%,82%,1-0,VEIKKAUSLIIGA
FRI, 26 JUL, 19:00,,,37%,32%,31%,53%,47%,76%,24%,52%,48%,30%,70%,1-0,EKSTRAKLASA
FRI, 26 JUL, 19:30,BANIK OSTRAVA , TEPLICE,33%,34%,33%,45%,55%,69%,31%,43%,57%,22%,78%,1-1,CZECH FIRST LEAGUE
FRI, 26 JUL, 20:00,DINAMO MOSCOW , URAL,19%,27%,54%,41%,59%,80%,20%,57%,43%,35%,65%,0-2,RUSSIAN LEAGUE
FRI, 2 AUG, 21:00,PEC ZWOLLE , WILLEM II,34%,33%,33%,74%,26%,93%,7%,81%,19%,64%,36%,2-1,EREDIVISIE
SAT, 3 AUG, 19:30,EMMEN , GRONINGEN,37%,32%,31%,40%,60%,58%,42%,32%,68%,14%,86%,1-0,EREDIVISIE
SAT, 27 JUL, 20:00,BASEL , ST.GALLEN,54%,27%,19%,33%,67%,67%,33%,42%,58%,21%,79%,1-0,SWISS SUPER LEAGUE
SAT, 27 JUL, 20:00,SERVETTE , SION,25%,29%,46%,54%,46%,80%,20%,57%,43%,35%,65%,1-2,SWISS SUPER LEAGUE
SUN, 28 JUL, 17:00,LUGANO , THUN,45%,30%,25%,35%,65%,50%,50%,23%,77%,9%,91%,1-0,SWISS SUPER LEAGUE
SUN, 28 JUL, 17:00,XAMAX , YOUNG BOYS,19%,27%,54%,57%,43%,90%,10%,74%,26%,54%,46%,1-2,SWISS SUPER LEAGUE
FRI, 26 JUL, 21:45,RAPID WIEN , SALZBURG,27%,31%,42%,44%,56%,67%,33%,41%,59%,20%,80%,0-1,AUSTRIAN BUNDESLIGA
SAT, 27 JUL, 18:00,ADMIRA WACKER , WOLFSBERGER AC,33%,33%,34%,63%,37%,83%,17%,63%,37%,41%,59%,1-2,AUSTRIAN BUNDESLIGA
SUN, 28 JUL, 18:00,LASK , ALTACH,38%,32%,30%,43%,57%,62%,38%,36%,64%,17%,83%,1-0,AUSTRIAN BUNDESLIGA
SUN, 28 JUL, 18:00,MATTERSBURG , HARTBERG,37%,32%,31%,70%,30%,91%,9%,77%,23%,57%,43%,2-1,AUSTRIAN BUNDESLIGA
FRI, 26 JUL, 18:30,SJK , LAHTI,58%,25%,17%,35%,65%,64%,36%,37%,63%,18%,82%,1-0,VEIKKAUSLIIGA
SAT, 27 JUL, 17:00,HJK , VPS,54%,27%,19%,42%,58%,74%,26%,50%,50%,28%,72%,1-0,VEIKKAUSLIIGA
SAT, 27 JUL, 17:00,HONKA , ILVES,37%,32%,31%,57%,43%,87%,13%,71%,29%,50%,50%,,VEIKKAUSLIIGA
SUN, 28 JUL, 17:00,MARIEHAMN , HIFK,31%,33%,36%,37%,63%,58%,42%,31%,69%,13%,87%,0-1,VEIKKAUSLIIGA
FRI, 26 JUL, 22:00,FINN HARPS , DERRY CITY,27%,30%,43%,53%,47%,86%,14%,68%,32%,47%,53%,0-2,LEAGUE OF IRELAND
SAT, 27 JUL, 22:00,SLIGO ROVERS , BOHEMIAN,31%,32%,37%,35%,65%,38%,62%,14%,86%,4%,96%,0-1,LEAGUE OF IRELAND
SUN, 28 JUL, 18:00,,,21%,27%,52%,35%,65%,63%,37%,36%,64%,17%,83%,0-1,LEAGUE OF IRELAND
SAT, 27 JUL, 05:00,LOS ANGELES , ATLANTA,61%,24%,15%,43%,57%,87%,13%,69%,31%,47%,53%,2-0,MLS
